time,open,high,low,close,volume
2021-01-15 11:59:00,839.35,839.69,839.0,839.31,39829
2021-01-15 11:58:00,839.755,840.3899,839.4,839.5601,38710
2021-01-15 11:57:00,839.2241,839.9983,839.2241,839.81,39776
2021-01-15 11:56:00,840.76,840.84,839.0,839.36,52873
2021-01-15 11:55:00,841.385,841.8,840.82,840.8456,23291
2021-01-15 11:54:00,841.0607,841.48,840.5,841.48,30011
2021-01-15 11:53:00,840.2,841.45,840.2,841.2,41327
2021-01-15 11:52:00,840.075,840.7645,839.9,840.23,66158
2021-01-15 11:51:00,841.82,841.82,840.01,840.06,70542
2021-01-15 11:50:00,843.3887,843.44,841.61,841.7397,42803
2021-01-15 11:49:00,842.22,843.35,841.9,843.0,36440
2021-01-15 11:48:00,841.775,842.7669,841.56,842.3,38481
2021-01-15 11:47:00,842.23,842.28,841.5,841.69,40611
2021-01-15 11:46:00,843.0788,843.4368,841.77,842.3114,48798
2021-01-15 11:45:00,843.48,844.0965,842.806,842.9934,37016
2021-01-15 11:44:00,843.66,844.5,843.3,843.3909,50719
2021-01-15 11:43:00,843.9841,844.19,843.425,843.621,39645
2021-01-15 11:42:00,843.5453,844.19,843.25,844.0217,40640
2021-01-15 11:41:00,841.74,843.71,841.74,843.44,58255
2021-01-15 11:40:00,842.1999,842.21,841.1,841.635,41922
2021-01-15 11:39:00,842.32,843.53,841.7042,842.19,51125
2021-01-15 11:38:00,843.38,843.4499,842.0,842.032,42899
2021-01-15 11:37:00,843.7997,844.42,843.2751,843.45,36700
2021-01-15 11:36:00,842.8592,844.0,842.55,843.925,39533
2021-01-15 11:35:00,843.9636,843.994,841.54,842.74,76265
2021-01-15 11:34:00,844.06,844.64,843.6,843.7714,35856
2021-01-15 11:33:00,843.855,844.86,843.65,843.91,50368
2021-01-15 11:32:00,844.1,845.5,843.5414,843.855,69721
2021-01-15 11:31:00,845.23,845.48,843.9,844.0253,60895
2021-01-15 11:30:00,844.6135,845.5,844.2901,845.08,129215
2021-01-15 11:29:00,843.02,844.6701,842.98,844.6,81840
2021-01-15 11:28:00,843.8393,843.8393,842.9855,843.02,43802
2021-01-15 11:27:00,844.08,844.6909,843.3,843.5678,59530
2021-01-15 11:26:00,843.825,844.94,843.6,844.15,109746
2021-01-15 11:25:00,842.84,844.05,842.35,843.8501,63546
2021-01-15 11:24:00,843.67,844.27,842.12,842.89,76773
2021-01-15 11:23:00,843.7899,844.16,843.3,843.5685,66448
2021-01-15 11:22:00,844.64,845.1999,843.6201,843.625,101866
2021-01-15 11:21:00,844.38,845.8494,844.18,844.465,177139
